user_email,date_of_transaction,amount
user100@example.com,2023-02-15T00:00:00.000Z,65.84
user101@example.com,2023-02-15T00:00:00.000Z,88.59
user102@example.com,2023-02-15T00:00:00.000Z,135.09
user103@example.com,2023-02-15T00:00:00.000Z,111.00
user104@example.com,2023-02-15T00:00:00.000Z,91.66
user105@example.com,2023-02-15T00:00:00.000Z,76.23
user106@example.com,2023-02-15T00:00:00.000Z,108.15
user107@example.com,2023-02-15T00:00:00.000Z,83.43
user108@example.com,2023-02-15T00:00:00.000Z,62.00
user109@example.com,2023-02-15T00:00:00.000Z,146.44
user110@example.com,2023-02-15T00:00:00.000Z,149.66
user111@example.com,2023-02-15T00:00:00.000Z,138.02
user112@example.com,2023-02-15T00:00:00.000Z,123.76
user113@example.com,2023-02-15T00:00:00.000Z,75.77
user114@example.com,2023-02-15T00:00:00.000Z,105.96
user115@example.com,2023-02-15T00:00:00.000Z,54.90
user116@example.com,2023-02-15T00:00:00.000Z,69.61
user117@example.com,2023-02-15T00:00:00.000Z,100.44
user118@example.com,2023-02-15T00:00:00.000Z,53.97
user119@example.com,2023-02-15T00:00:00.000Z,86.55
user120@example.com,2023-02-15T00:00:00.000Z,88.01
user121@example.com,2023-02-15T00:00:00.000Z,108.64
user122@example.com,2023-02-15T00:00:00.000Z,69.61
user123@example.com,2023-02-15T00:00:00.000Z,72.73
user124@example.com,2023-02-15T00:00:00.000Z,144.96
user125@example.com,2023-02-15T00:00:00.000Z,100.79
user126@example.com,2023-02-15T00:00:00.000Z,138.59
user127@example.com,2023-02-15T00:00:00.000Z,122.09
user128@example.com,2023-02-15T00:00:00.000Z,102.94
user129@example.com,2023-02-15T00:00:00.000Z,114.77
user130@example.com,2023-02-15T00:00:00.000Z,61.56
user131@example.com,2023-02-15T00:00:00.000Z,148.75
user132@example.com,2023-02-15T00:00:00.000Z,95.33
user133@example.com,2023-02-15T00:00:00.000Z,100.05
user134@example.com,2023-02-15T00:00:00.000Z,97.45
user135@example.com,2023-02-15T00:00:00.000Z,80.40
user136@example.com,2023-02-15T00:00:00.000Z,63.21
user137@example.com,2023-02-15T00:00:00.000Z,82.50
user138@example.com,2023-02-15T00:00:00.000Z,58.27
user139@example.com,2023-02-15T00:00:00.000Z,133.51
user140@example.com,2023-02-15T00:00:00.000Z,82.19
user141@example.com,2023-02-15T00:00:00.000Z,74.04
user142@example.com,2023-02-15T00:00:00.000Z,63.33
user143@example.com,2023-02-15T00:00:00.000Z,121.46
user144@example.com,2023-02-15T00:00:00.000Z,97.45
user145@example.com,2023-02-15T00:00:00.000Z,121.19
user146@example.com,2023-02-15T00:00:00.000Z,65.93
user147@example.com,2023-02-15T00:00:00.000Z,93.83
user148@example.com,2023-02-15T00:00:00.000Z,62.77
user149@example.com,2023-02-15T00:00:00.000Z,128.74
user150@example.com,2023-02-15T00:00:00.000Z,116.33
user151@example.com,2023-02-15T00:00:00.000Z,135.53
user152@example.com,2023-02-15T00:00:00.000Z,58.11
user153@example.com,2023-02-15T00:00:00.000Z,79.57
user154@example.com,2023-02-15T00:00:00.000Z,104.18
user155@example.com,2023-02-15T00:00:00.000Z,81.53
user156@example.com,2023-02-15T00:00:00.000Z,110.26
user157@example.com,2023-02-15T00:00:00.000Z,136.39
user158@example.com,2023-02-15T00:00:00.000Z,138.57
user159@example.com,2023-02-15T00:00:00.000Z,60.71
user160@example.com,2023-02-15T00:00:00.000Z,91.26
user161@example.com,2023-02-15T00:00:00.000Z,93.36
user162@example.com,2023-02-15T00:00:00.000Z,144.95
user163@example.com,2023-02-15T00:00:00.000Z,115.75
user164@example.com,2023-02-15T00:00:00.000Z,78.31
user165@example.com,2023-02-15T00:00:00.000Z,78.21
user166@example.com,2023-02-15T00:00:00.000Z,126.21
user167@example.com,2023-02-15T00:00:00.000Z,93.73
user168@example.com,2023-02-15T00:00:00.000Z,105.51
user169@example.com,2023-02-15T00:00:00.000Z,91.28
user170@example.com,2023-02-15T00:00:00.000Z,131.52
user171@example.com,2023-02-15T00:00:00.000Z,88.12
user172@example.com,2023-02-15T00:00:00.000Z,129.00
user173@example.com,2023-02-15T00:00:00.000Z,51.65
user174@example.com,2023-02-15T00:00:00.000Z,57.20
user175@example.com,2023-02-15T00:00:00.000Z,81.52
user176@example.com,2023-02-15T00:00:00.000Z,77.42
user177@example.com,2023-02-15T00:00:00.000Z,66.79
user178@example.com,2023-02-15T00:00:00.000Z,99.98
user179@example.com,2023-02-15T00:00:00.000Z,87.35
user180@example.com,2023-02-15T00:00:00.000Z,145.29
user181@example.com,2023-02-15T00:00:00.000Z,131.52
user182@example.com,2023-02-15T00:00:00.000Z,129.56
user183@example.com,2023-02-15T00:00:00.000Z,97.95
user184@example.com,2023-02-15T00:00:00.000Z,103.86
user185@example.com,2023-02-15T00:00:00.000Z,148.41
user186@example.com,2023-02-15T00:00:00.000Z,63.06
user187@example.com,2023-02-15T00:00:00.000Z,117.76
user188@example.com,2023-02-15T00:00:00.000Z,107.91
user189@example.com,2023-02-15T00:00:00.000Z,53.03
user190@example.com,2023-02-15T00:00:00.000Z,90.89
user191@example.com,2023-02-15T00:00:00.000Z,74.47
user192@example.com,2023-02-15T00:00:00.000Z,67.74
user193@example.com,2023-02-15T00:00:00.000Z,111.05
user194@example.com,2023-02-15T00:00:00.000Z,121.06
user195@example.com,2023-02-15T00:00:00.000Z,54.23
user196@example.com,2023-02-15T00:00:00.000Z,95.43
user197@example.com,2023-02-15T00:00:00.000Z,64.67
user198@example.com,2023-02-15T00:00:00.000Z,117.33
user199@example.com,2023-02-15T00:00:00.000Z,89.07
user200@example.com,2023-02-15T00:00:00.000Z,141.62
